ref,accuracy,epoch,loss,val_accuracy,val_loss,granularity
0,0.257142872,0,2.116520882,0.142857149,17.18459702,16
1,0.409523815,1,1.544065952,0.142857149,42.9692421,16
2,0.466666669,2,1.26623261,0.142857149,30.09487724,16
3,0.571428597,3,1.049243212,0.142857149,41.7882309,16
4,0.590476215,4,0.971327126,0.142857149,32.35351563,16
5,0.642857134,5,0.952162087,0.142857149,22.39998817,16
6,0.685714304,6,0.846486688,0.142857149,15.69343567,16
7,0.59523809,7,0.9486413,0.142857149,11.35442829,16
8,0.676190495,8,0.799720168,0.142857149,8.392421722,16
9,0.704761922,9,0.736089289,0.142857149,5.776077271,16
10,0.652380943,10,0.80372858,0.142857149,4.244997501,16
11,0.719047606,11,0.715370178,0.147619054,3.343053102,16
12,0.699999988,12,0.767327547,0.152380958,2.654634237,16
13,0.809523821,13,0.635600924,0.214285716,2.10473752,16
14,0.728571415,14,0.689855874,0.314285725,1.54998064,16
15,0.752380967,15,0.663671613,0.395238101,1.296245337,16
16,0.780952394,16,0.597066879,0.523809552,1.219931364,16
17,0.790476203,17,0.590312779,0.514285743,1.188398123,16
18,0.785714269,18,0.571691275,0.609523833,0.993292689,16
19,0.771428585,19,0.623570025,0.72380954,0.838492334,16
20,0.761904776,20,0.568749905,0.761904776,0.721304178,16
21,0.766666651,21,0.548499167,0.785714269,0.672237456,16
22,0.838095248,22,0.478497535,0.795238078,0.668958366,16
23,0.795238078,23,0.462172687,0.757142842,0.680949032,16
24,0.838095248,24,0.415446758,0.752380967,0.671338856,16
25,0.880952358,25,0.365514725,0.752380967,0.617523193,16
26,0.871428549,26,0.384566575,0.766666651,0.570480406,16
27,0.842857122,27,0.41411671,0.857142866,0.467126548,16
28,0.857142866,28,0.402881742,0.899999976,0.42472437,16
29,0.871428549,29,0.407568008,0.899999976,0.400045127,16
30,0.880952358,30,0.342531472,0.885714293,0.357838362,16
31,0.866666675,31,0.34733969,0.895238101,0.333046615,16
32,0.857142866,32,0.323117852,0.919047594,0.306934178,16
33,0.885714293,33,0.319608063,0.899999976,0.304264307,16
34,0.866666675,34,0.359424204,0.842857122,0.351141095,16
35,0.90476191,35,0.283887655,0.871428549,0.347130418,16
36,0.885714293,36,0.307081908,0.876190484,0.34810093,16
37,0.890476167,37,0.304112256,0.880952358,0.335060835,16
38,0.909523785,38,0.286797106,0.885714293,0.32518813,16
39,0.914285719,39,0.259517282,0.880952358,0.314106464,16
40,0.823809505,40,0.356019586,0.880952358,0.305917859,16
41,0.933333337,41,0.231065184,0.880952358,0.29954505,16
42,0.928571403,42,0.275049806,0.880952358,0.293746114,16
43,0.90476191,43,0.259743959,0.885714293,0.289222151,16
44,0.914285719,44,0.279396176,0.885714293,0.285878241,16
45,0.899999976,45,0.292484254,0.890476167,0.282782257,16
46,0.890476167,46,0.282767296,0.890476167,0.281271249,16
47,0.880952358,47,0.316681862,0.890476167,0.27613911,16
48,0.95714283,48,0.19585599,0.890476167,0.271417826,16
49,0.899999976,49,0.300895035,0.899999976,0.268847525,16
50,0.890476167,50,0.284944981,0.899999976,0.264265835,16
51,0.928571403,51,0.243332505,0.90476191,0.26041013,16
52,0.919047594,52,0.213142291,0.90476191,0.260302454,16
53,0.919047594,53,0.241857052,0.90476191,0.25862202,16
54,0.90476191,54,0.298196226,0.909523785,0.254546821,16
